# Pathway	PCMP_EBneg1.cat.filtered2_Abundance	PCMP_EBneg2.cat.filtered2_Abundance	PCMP_L001.cat.filtered2_Abundance	PCMP_L002.cat.filtered2_Abundance	PCMP_L006.cat.filtered2_Abundance	PCMP_L011.cat.filtered2_Abundance	PCMP_L018.cat.filtered2_Abundance	PCMP_L039.cat.filtered2_Abundance	PCMP_L041.cat.filtered2_Abundance	PCMP_L051.cat.filtered2_Abundance	PCMP_L063.cat.filtered2_Abundance	PCMP_L066.cat.filtered2_Abundance	PCMP_L069.cat.filtered2_Abundance	PCMP_L077.cat.filtered2_Abundance	PCMP_L079.cat.filtered2_Abundance	PCMP_L089.cat.filtered2_Abundance	PCMP_L1.cat.filtered2_Abundance	PCMP_L104.cat.filtered2_Abundance	PCMP_L108.cat.filtered2_Abundance	PCMP_L111.cat.filtered2_Abundance	PCMP_L113.cat.filtered2_Abundance	PCMP_L117.cat.filtered2_Abundance	PCMP_L118.cat.filtered2_Abundance	PCMP_NL087.cat.filtered2_Abundance	PCMP_NL090.cat.filtered2_Abundance	PCMP_NL091.cat.filtered2_Abundance	PCMP_NL093.cat.filtered2_Abundance	PCMP_NL099.cat.filtered2_Abundance	PCMP_NL100.cat.filtered2_Abundance	PCMP_NL101.cat.filtered2_Abundance	PCMP_NL102.cat.filtered2_Abundance	PCMP_NL105.cat.filtered2_Abundance	PCMP_NL108.cat.filtered2_Abundance	PCMP_NL114.cat.filtered2_Abundance	PCMP_NL119.cat.filtered2_Abundance	PCMP_NL121.cat.filtered2_Abundance	PCMP_NL122.cat.filtered2_Abundance	PCMP_NL125.cat.filtered2_Abundance	PCMP_NL128.cat.filtered2_Abundance	PCMP_NL129.cat.filtered2_Abundance	PCMP_NL130.cat.filtered2_Abundance	PCMP_NL131.cat.filtered2_Abundance	PCMP_NL132.cat.filtered2_Abundance	PCMP_T1.cat.filtered2_Abundance	PCMP_X2.cat.filtered2_Abundance	PCMP_Z2.cat.filtered2_Abundance	PCMP_vibriolambda1.cat.filtered2_Abundance	PCMP_vibriolambda2.cat.filtered2_Abundance
PWY-5188: tetrapyrrole biosynthesis I (from glutamate)	0	19	688	715	663	842	618	1616	762	883	582	1388	674	1574	1133	1257	2699	2763	1034	827	1023	592	1550	2381	392	1417	2218	39	1161	1557	1890	504	966	613	1544	1474	1736	427	824	1245	314	164	2385	2983	2298	2645	1542	0
PWY-5189: tetrapyrrole biosynthesis II (from glycine)	0	23	417	648	392	772	487	1040	565	773	410	1250	706	682	1070	347	2628	775	927	738	892	618	1034	1014	203	1194	1472	0	1080	901	1780	201	359	547	673	512	699	354	347	355	104	134	831	2884	2182	2585	0	0
PWY-5198: factor 420 biosynthesis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
PWY-5265: peptidoglycan biosynthesis II (staphylococci)	0	0	0	0	0	0	0	0	0	0	31	0	0	82	0	579	608	0	0	0	0	0	0	976	276	0	795	12	0	0	0	0	70	104	42	0	124	0	56	0	326	0	48	543	391	463	0	0
PWY-5306: superpathway of thiosulfate metabolism (Desulfovibrio sulfodismutans)	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	5	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0
PWY-5345: superpathway of L-methionine biosynthesis (by sulfhydrylation)	0	44	275	57	226	303	197	156	6	10	164	328	33	120	82	459	1099	2014	139	764	125	238	398	169	135	820	637	26	634	1051	373	21	189	87	32	120	853	27	353	154	170	0	971	1323	1146	1284	29	0
PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)	0	0	1088	199	802	849	1615	1385	716	618	993	1162	500	1251	733	1174	3103	2857	1298	1217	1289	641	2266	1042	384	2050	2138	38	924	2680	1079	510	943	517	856	1830	1795	399	1328	978	192	144	1504	3500	3010	3194	1851	0
PWY-5367: petroselinate biosynthesis	0	0	68	10	252	428	622	299	0	7	410	17	10	13	16	13	1151	418	335	217	172	49	1284	0	0	108	11	20	38	776	54	13	119	131	0	63	640	0	170	73	0	3	45	215	229	323	0	0
PWY-5384: sucrose degradation IV (sucrose phosphorylase)	0	0	108	19	84	247	45	179	161	105	270	91	15	104	189	482	2219	234	338	95	396	168	176	105	261	831	144	0	49	654	49	76	97	46	97	219	100	17	46	32	50	20	46	2365	1791	2177	0	0
PWY-5392: reductive TCA cycle II	0	0	109	0	84	149	145	34	18	66	42	240	60	53	102	40	37	109	210	175	54	34	30	40	122	46	250	0	173	98	158	0	49	174	51	353	138	21	39	139	0	0	60	58	41	24	0	0
PWY-5415: catechol degradation I (meta-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0
PWY-5417: catechol degradation III (ortho-cleavage pathway)	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	25	0	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	3	0	0	12	0	0	0	0	0	0	34	22	28	0	0
PWY-5431: aromatic compounds degradation via &beta;-ketoadipate	0	0	0	0	0	0	0	0	0	0	0	13	4	0	0	0	25	0	0	0	0	0	0	7	0	0	0	0	0	0	8	0	0	3	0	0	12	0	0	0	0	0	0	34	22	28	0	0
PWY-5464: superpathway of cytosolic glycolysis (plants), pyruvate dehydrogenase and TCA cycle	0	0	126	34	384	193	197	383	160	257	238	410	150	349	295	611	1864	418	312	298	299	125	282	858	146	632	1075	0	317	436	440	251	590	137	404	979	881	280	127	885	91	0	552	2225	1796	2359	0	0
PWY-5484: glycolysis II (from fructose 6-phosphate)	0	0	3026	2875	2514	5813	1676	2885	5455	4651	4138	5814	3078	5693	5151	4910	4875	4202	5016	3184	5317	2297	4413	5164	2829	4711	10471	52	4769	6156	6618	3309	4042	2303	4205	6724	4180	2807	1805	5418	736	600	5981	5455	4117	4853	0	0
PWY-5505: L-glutamate and L-glutamine biosynthesis	0	0	435	357	241	808	333	826	52	111	1092	866	143	329	443	431	97	1115	1137	505	1499	543	1698	390	0	794	852	13	777	1039	570	197	437	353	91	709	501	101	326	330	3	94	486	145	82	184	0	0
PWY-5508: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide II	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0
PWY-5509: adenosylcobalamin biosynthesis from cobyrinate a,c-diamide I	0	0	0	26	87	41	0	67	16	38	0	0	28	10	42	89	0	102	0	108	0	0	0	22	9	96	194	0	0	351	146	0	158	0	0	52	253	0	0	122	0	0	154	0	0	0	0	0
PWY-5532: adenosine nucleotides degradation IV	0	0	22	0	0	0	0	0	0	0	0	0	0	11	8	0	0	40	19	0	0	0	0	19	0	36	57	0	0	0	13	0	0	0	0	0	11	34	5	0	0	8	0	0	0	0	0	0
PWY-561: superpathway of glyoxylate cycle and fatty acid degradation	0	55	51	0	298	106	27	159	39	65	109	32	112	112	100	68	3517	74	84	112	0	107	0	213	0	731	576	24	222	21	241	0	232	35	0	588	646	105	0	290	0	0	317	4075	3034	3498	56	0
PWY-5656: mannosylglycerate biosynthesis I	0	0	0	0	69	4	0	0	0	0	6	8	6	31	0	11	0	4	0	20	0	69	0	18	0	255	85	0	9	0	6	0	18	4	23	28	40	0	0	0	0	0	0	0	0	2	0	0
PWY-5659: GDP-mannose biosynthesis	2	0	1741	1135	878	1012	1545	2374	2247	2047	843	2780	2167	1324	2907	1123	5592	1024	1625	1936	1647	619	1604	1558	2199	1844	4077	32	2745	1393	2212	992	1289	517	1717	2227	1216	807	1226	1851	182	174	1584	6010	4638	5314	2069	0
PWY-5667: CDP-diacylglycerol biosynthesis I	5	5	2543	2154	1948	2884	5253	3970	3214	3582	3577	5373	3370	3491	4628	4539	4217	3702	4153	3369	3859	1712	5457	3643	2816	4113	7345	40	4691	5911	4330	2694	2597	2095	3613	4563	3183	1676	2759	3900	675	466	5604	4633	3398	3950	1517	0
PWY-5675: nitrate reduction V (assimilatory)	0	0	18	0	3	2	6	95	11	17	25	21	0	7	50	106	87	25	0	0	5	0	0	98	40	0	262	4	0	21	0	8	15	13	0	72	4	84	3	124	59	0	164	124	73	150	0	0
PWY-5676: acetyl-CoA fermentation to butanoate II	0	0	598	419	691	492	275	840	782	1077	511	1231	579	867	1174	457	165	1367	811	845	826	630	814	1427	398	865	2234	0	712	963	1520	368	800	379	806	2452	906	564	512	1388	37	116	1581	260	244	238	0	0
PWY-5677: succinate fermentation to butanoate	0	0	88	190	100	73	34	82	161	338	22	215	92	307	336	19	8	87	208	165	258	7	92	257	70	37	270	0	404	85	371	172	305	92	125	324	258	135	18	136	0	52	115	6	10	9	0	0
PWY-5686: UMP biosynthesis	18	158	4938	3491	3149	3094	4610	5079	7345	5597	3276	7655	5045	5923	6690	5257	4617	5297	4879	4845	3909	1407	5347	5149	3524	4007	12745	76	6503	5964	8019	5166	4849	2922	5291	7384	4562	3209	3404	6432	907	787	7068	5196	4033	4451	1400	0
PWY-5690: TCA cycle II (plants and fungi)	0	33	496	144	475	728	450	924	167	508	354	1157	248	992	615	821	4714	590	635	643	781	144	1033	1054	394	1108	1386	0	408	449	567	331	713	406	832	1333	974	384	264	1088	77	61	969	5520	4223	4770	30	0
PWY-5692: allantoin degradation to glyoxylate II	0	0	12	0	0	5	11	18	0	0	18	14	3	0	0	12	0	120	24	27	0	13	35	0	0	90	0	0	5	34	4	0	5	8	0	17	11	0	12	0	0	0	27	0	0	0	0	0
PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation	2	109	5552	2780	2918	4992	5027	5002	6679	5788	3665	6835	4489	4870	6399	3846	6748	3099	4763	4737	4977	2108	4183	4506	3698	4631	9241	11	6726	5947	6459	6108	4281	2306	4371	6201	2738	2708	2975	4620	430	683	5606	7145	5797	6292	2236	0
PWY-5705: allantoin degradation to glyoxylate III	0	0	53	5	109	60	18	44	4	0	28	36	5	0	17	19	2520	120	56	40	5	84	44	79	0	301	124	0	7	55	12	5	14	25	0	34	16	0	52	42	0	0	42	2500	1804	2049	0	0
PWY-5723: Rubisco shunt	21	165	140	143	243	91	36	0	222	152	56	9	19	74	32	13	4190	138	42	65	13	150	0	55	0	1060	278	0	9	14	255	0	49	31	92	357	72	107	32	0	0	15	0	4680	3694	4120	0	0
PWY-5741: ethylmalonyl-CoA pathway	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0
PWY-5747: 2-methylcitrate cycle II	0	8	9	2	39	10	3	0	2	15	10	12	2	17	11	26	2059	2	9	8	8	28	0	72	5	152	113	0	14	0	8	0	51	4	1	47	85	3	0	35	0	0	13	2251	1768	1932	0	0
PWY-5791: 1,4-dihydroxy-2-naphthoate biosynthesis II (plants)	0	0	11	0	85	56	101	9	7	43	18	0	5	0	196	171	2356	0	0	36	0	43	66	56	0	266	161	0	5	82	97	0	0	0	0	115	9	0	0	0	0	0	0	2049	1639	1883	0	0
PWY-5837: 1,4-dihydroxy-2-naphthoate biosynthesis I	0	0	11	0	85	56	101	9	7	43	18	0	5	0	196	171	2356	0	0	36	0	43	66	56	0	266	161	0	5	82	97	0	0	0	0	115	9	0	0	0	0	0	0	2049	1639	1883	0	0
PWY-5838: superpathway of menaquinol-8 biosynthesis I	0	0	33	0	197	153	241	16	0	129	53	0	19	0	497	191	685	0	0	114	0	111	119	166	0	633	433	0	16	154	294	0	0	0	0	312	28	0	0	0	0	0	0	894	718	755	0	0
PWY-5840: superpathway of menaquinol-7 biosynthesis	0	0	36	0	226	177	268	31	25	143	60	0	19	0	594	363	147	0	0	119	0	67	199	179	0	374	509	0	16	253	310	0	0	0	0	355	30	0	0	0	0	0	0	69	121	134	0	0
PWY-5850: superpathway of menaquinol-6 biosynthesis I	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5855: ubiquinol-7 biosynthesis (prokaryotic)	5	0	0	0	76	35	6	0	0	0	33	6	3	0	0	0	2490	0	0	21	0	30	0	24	0	376	93	0	0	0	3	0	0	3	0	0	0	9	0	0	0	0	0	2821	2154	2530	0	0
PWY-5856: ubiquinol-9 biosynthesis (prokaryotic)	5	0	0	0	76	35	6	0	0	0	33	6	3	0	0	0	2490	0	0	21	0	30	0	24	0	376	93	0	0	0	3	0	0	3	0	0	0	9	0	0	0	0	0	2821	2154	2530	0	0
PWY-5857: ubiquinol-10 biosynthesis (prokaryotic)	5	0	0	0	76	35	6	0	0	0	33	6	3	0	0	0	2490	0	0	21	0	30	0	24	0	376	93	0	0	0	3	0	0	3	0	0	0	9	0	0	0	0	0	2821	2154	2530	0	0
PWY-5860: superpathway of demethylmenaquinol-6 biosynthesis I	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5861: superpathway of demethylmenaquinol-8 biosynthesis	0	0	22	0	143	104	165	11	0	87	35	0	12	0	345	135	490	0	0	77	0	77	81	113	0	476	299	0	11	105	201	0	0	0	0	216	19	0	0	0	0	0	0	639	519	538	0	0
PWY-5863: superpathway of phylloquinol biosynthesis	0	0	12	0	93	60	107	10	8	49	20	0	6	0	211	169	1309	0	0	41	0	28	74	62	0	272	175	0	5	91	107	0	0	0	0	127	10	0	0	0	0	0	0	314	220	395	0	0
PWY-5870: ubiquinol-8 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5871: ubiquinol-9 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5872: ubiquinol-10 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5873: ubiquinol-7 biosynthesis (eukaryotic)	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-5897: superpathway of menaquinol-11 biosynthesis	0	0	31	0	205	162	284	27	22	126	53	0	16	0	534	340	3093	0	0	106	0	121	184	159	0	638	453	0	14	232	276	0	0	0	0	317	26	0	0	0	0	0	0	3272	2557	2958	0	0
PWY-5898: superpathway of menaquinol-12 biosynthesis	0	0	31	0	205	162	284	27	22	126	53	0	16	0	534	340	3093	0	0	106	0	121	184	159	0	638	453	0	14	232	276	0	0	0	0	317	26	0	0	0	0	0	0	3272	2557	2958	0	0
PWY-5899: superpathway of menaquinol-13 biosynthesis	0	0	31	0	205	162	284	27	22	126	53	0	16	0	534	340	3093	0	0	106	0	121	184	159	0	638	453	0	14	232	276	0	0	0	0	317	26	0	0	0	0	0	0	3272	2557	2958	0	0
PWY-5910: superpathway of geranylgeranyldiphosphate biosynthesis I (via mevalonate)	0	0	0	0	25	0	7	0	0	0	11	6	0	6	0	15	189	0	4	17	0	0	0	8	28	0	21	0	0	16	0	0	112	0	8	53	0	0	0	5	0	0	0	169	128	182	0	0
PWY-5913: TCA cycle VI (obligate autotrophs)	12	148	214	99	186	145	273	604	234	366	287	618	176	793	211	666	839	308	314	423	367	81	91	919	176	763	648	34	283	885	404	11	657	206	285	816	1583	143	191	114	14	44	117	1068	921	907	0	0
PWY-5918: superpathay of heme biosynthesis from glutamate	0	29	364	449	336	274	287	107	701	634	202	726	549	736	729	353	295	310	552	498	473	192	237	810	194	776	1451	0	833	230	1229	268	509	258	509	651	916	252	162	412	105	112	459	416	225	192	114	0
PWY-5920: superpathway of heme biosynthesis from glycine	0	39	72	64	173	112	51	0	285	214	52	211	127	356	225	127	58	71	133	178	51	48	32	316	91	295	584	0	179	30	434	90	131	88	132	315	228	150	26	191	62	30	174	59	60	61	0	0
PWY-5941: glycogen degradation II (eukaryotic)	0	0	1009	469	450	1060	850	1299	787	1120	795	1915	1132	1356	1237	964	1246	1398	1501	1275	1520	872	1572	1139	509	1539	3144	4	1002	2761	1571	382	1271	787	1324	1664	1866	726	969	2145	45	89	1709	1859	1403	1560	0	0
PWY-5971: palmitate biosynthesis II (bacteria and plants)	0	0	783	402	769	1176	868	1128	0	477	751	1025	673	684	1014	575	5641	1935	1598	1955	1537	371	1940	0	0	1566	809	11	1202	1870	1719	125	1009	918	0	1227	1191	0	616	695	0	109	1039	4955	4006	4734	0	0
PWY-5973: cis-vaccenate biosynthesis	26	208	890	560	771	855	1268	1061	1920	1847	610	2934	2042	1686	2382	1296	3958	2792	1604	1936	1357	288	1894	1989	740	1548	3944	18	1802	1592	2657	105	1255	1081	1287	2248	1210	1076	710	1191	0	143	1331	3261	2563	2820	0	0
PWY-5989: stearate biosynthesis II (bacteria and plants)	27	206	849	605	729	995	779	1053	1451	1653	648	2435	1982	1168	2503	811	4365	1592	1537	1978	1463	331	1753	1166	779	1611	3137	25	1716	1652	2417	118	1101	866	1113	1226	1179	786	612	596	0	148	1208	4964	3732	4226	210	0
PWY-5994: palmitate biosynthesis I (animals and fungi)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6060: malonate degradation II (biotin-dependent)	0	0	0	0	0	159	0	195	0	0	5	0	0	0	59	0	0	40	101	91	0	2	80	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	64	0	0	0	0	0	0	0	0	0
PWY-6071: superpathway of phenylethylamine degradation	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	15	23	0	0
PWY-6075: ergosterol biosynthesis I	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-6098: diploterol and cycloartenol biosynthesis	16	127	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	10	0	0	0	0	0	0	0	0	0	0
PWY-6107: chlorosalicylate degradation	30	220	0	0	5	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	10	12	0	0	0	0	0	0	0	0	0	0
PWY-6113: superpathway of mycolate biosynthesis	0	0	538	138	713	1214	889	1074	0	105	804	259	156	192	249	178	4452	1654	1422	1443	1175	308	2024	0	0	974	171	13	478	1913	683	94	744	710	0	639	1193	0	579	476	0	43	502	2314	2152	2743	0	0
PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I	4	133	3462	2332	2801	4506	2243	3932	5021	4396	3833	6331	3937	5920	5225	5527	3748	5005	4475	4108	4764	2169	5088	5801	2605	4223	10052	86	4508	5804	7077	4031	3559	2559	4638	7060	4151	2751	2442	4947	644	568	6516	4332	3297	3808	1406	0
PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II	23	133	4892	2203	2841	4516	4419	4763	4837	4286	3868	6523	3911	6345	5043	5485	4095	5025	4770	4193	5035	2170	5154	6101	2488	4387	10491	86	4584	6354	7539	3901	3858	2837	4799	7317	4199	2965	3263	6085	662	550	6790	4576	3660	4074	1419	0
PWY-6123: inosine-5'-phosphate biosynthesis I	22	128	1936	2096	2490	1863	1224	1510	4626	3892	1797	5490	3088	5676	4193	4950	3645	1962	3099	2349	3020	1623	1989	4965	2107	2328	9740	58	3373	3111	6378	3100	3401	2426	4201	5940	3455	2697	1336	4940	669	404	4879	3550	2956	3175	1409	0
PWY-6124: inosine-5'-phosphate biosynthesis II	23	125	1750	1910	2425	1691	1072	1352	4327	3715	1642	5362	2902	5535	3938	4751	3606	1802	2961	2181	2844	1642	1845	4799	1979	2199	9469	74	3110	2889	6186	2877	3273	2395	4028	5733	3434	2632	1227	4843	656	376	4712	3812	3070	3419	1329	0
PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II	4	0	1308	1450	1639	3737	2378	2729	1715	1639	1853	2571	1126	1693	2116	2431	4187	1382	2475	1806	3247	1632	2452	2758	763	2592	2679	83	2210	3768	4062	1043	1473	932	1399	2163	2195	775	770	1459	373	410	1941	4116	3026	3780	1589	0
PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II	4	0	4664	2630	2121	4407	4199	3822	5364	3952	2518	4539	3195	5886	4095	2989	4746	3860	3373	3514	3926	1943	3186	5055	2403	3229	8377	95	3189	4705	6874	4857	3699	2159	3005	5761	3010	2446	2525	4415	858	580	4166	4599	3439	4240	1703	0
PWY-6138: CMP-N-acetylneuraminate biosynthesis I (eukaryotes)	0	0	0	0	13	20	5	5	0	0	0	0	0	0	3	0	0	0	14	13	3	0	38	0	0	0	49	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	9	0	0	0	0	0
PWY-6145: superpathway of sialic acids and CMP-sialic acids biosynthesis	0	0	0	0	73	27	5	0	0	0	0	0	0	0	0	0	0	0	15	5	0	0	0	0	0	0	60	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0
PWY-6147: 6-hydroxymethyl-dihydropterin diphosphate biosynthesis I	0	157	1070	841	867	3399	684	876	1453	1687	947	2714	2448	1339	2537	2045	3560	961	1778	1970	2378	782	1602	1323	787	2102	2638	33	1889	2927	2063	769	1099	1038	1659	1757	1202	696	1124	791	383	334	1287	4120	2840	3437	1486	0
PWY-6151: S-adenosyl-L-methionine cycle I	5	19	4192	2767	1529	4385	4462	3985	4500	3113	3836	5014	3663	1826	4689	3608	4142	3336	3541	3853	3489	1168	4831	1831	2480	3283	4622	65	5430	5527	3616	3896	2240	1407	2666	2693	2164	890	2826	1472	453	564	3621	4587	3461	3970	1776	0
PWY-6163: chorismate biosynthesis from 3-dehydroquinate	13	128	2569	1273	1461	2830	2989	4125	2222	2176	2688	4058	2465	2429	3168	2246	4724	4780	3466	3135	3203	1886	5349	2497	1258	3316	4766	10	2915	5396	3652	1592	1395	1391	1572	3290	2398	836	2432	1826	330	354	4160	5257	3988	4530	1636	0
PWY-6165: chorismate biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	5	0	0	0	0	0	0	0	0	0	0	13	0	0	6	0	0	0	0	0	4	7	0	0	0	0	0	0	0	0
PWY-6167: flavin biosynthesis II (archaea)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0
PWY-6168: flavin biosynthesis III (fungi)	0	0	3879	3204	1828	4135	3845	3871	5210	3943	2902	4667	3184	3007	4801	3066	3119	2761	3524	3504	3856	1572	3336	3432	2838	3055	6820	48	4486	4239	4335	2620	2749	1592	3032	4139	2522	1822	2221	3078	205	596	3131	3560	2731	3043	1717	0
PWY-6182: superpathway of salicylate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	13	0	0	0	0	0	0	35	22	29	0	0
PWY-6185: 4-methylcatechol degradation (ortho cleavage)	0	0	0	0	0	0	0	0	8	0	0	12	3	8	8	0	0	0	0	0	0	0	0	7	0	0	35	0	4	0	8	0	6	3	0	12	0	0	0	3	0	0	0	0	0	0	0	0
PWY-6215: 4-chlorobenzoate degradation	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PWY-621: sucrose degradation III (sucrose invertase)	0	0	478	74	116	627	1034	1175	350	70	933	606	40	136	197	411	1946	893	709	569	785	137	2273	587	165	1517	204	0	275	1700	297	75	334	247	218	1076	613	75	630	518	68	49	856	1883	1521	1765	0	0
PWY-622: starch biosynthesis	0	0	19	0	95	96	14	0	23	0	68	56	12	14	74	62	0	93	50	73	0	181	37	65	0	353	180	0	0	50	158	0	20	0	0	83	17	0	0	71	0	0	97	0	0	0	0	0
PWY-6263: superpathway of menaquinol-8 biosynthesis II	0	0	73	82	45	23	0	11	0	197	4	338	179	329	164	140	39	31	157	194	31	0	6	368	89	0	307	0	168	0	594	0	129	108	141	339	62	93	26	103	0	0	51	24	27	22	0	0
PWY-6269: adenosylcobalamin salvage from cobinamide II	0	0	143	26	87	404	0	537	50	71	0	294	29	128	145	113	0	389	313	152	115	109	367	41	8	227	309	0	150	374	241	41	188	81	0	338	215	0	100	127	0	0	243	0	0	0	0	0
PWY-6270: isoprene biosynthesis I	0	0	2478	1767	1691	1465	651	1677	4232	3646	2558	4985	3065	3256	3676	2894	2772	1873	2324	1910	818	680	1910	3615	2274	3060	7822	51	3102	1333	5184	3463	2815	1995	2665	5218	3104	1862	1798	2834	176	324	4930	2750	2232	2468	25	0
PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis	23	133	4892	2203	2841	4516	4419	4763	4837	4286	3868	6523	3911	6345	5043	5485	4095	5025	4770	4193	5035	2170	5154	6101	2488	4387	10491	86	4584	6354	7539	3901	3858	2837	4799	7317	4199	2965	3263	6085	662	550	6790	4576	3660	4074	1419	0
PWY-6282: palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	25	191	780	582	736	993	725	1008	1347	1559	637	2363	1914	1269	2462	900	5771	1695	1483	1942	1442	328	1735	1214	728	1602	3042	12	1596	1638	2343	114	1024	908	1257	1250	1108	791	564	625	0	142	1202	6209	4687	5353	1833	0
PWY-6284: superpathway of unsaturated fatty acids biosynthesis (E. coli)	0	0	190	32	482	751	753	609	0	30	583	76	40	43	70	58	2781	933	748	579	456	137	1645	0	0	416	51	11	135	1288	171	34	312	330	0	191	918	0	341	196	0	14	138	878	863	1164	0	0
PWY-6285: superpathway of fatty acids biosynthesis (E. coli)	0	0	270	0	606	733	666	329	0	59	530	149	80	51	137	111	3707	959	634	744	338	210	1248	0	0	685	100	0	253	1095	96	33	143	329	0	248	629	0	171	0	0	26	250	1534	1456	1905	0	0
PWY-6305: putrescine biosynthesis IV	0	0	541	150	280	385	201	1498	632	238	306	596	206	436	573	144	3525	1013	617	378	383	402	812	347	167	912	1638	3	276	792	618	280	543	300	1177	1198	253	301	340	915	0	77	1259	3876	3109	3463	1507	0
PWY-6307: L-tryptophan degradation X (mammalian, via tryptamine)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	27	0	0	0	0	0	0	0	0	0	0
PWY-6309: L-tryptophan degradation XI (mammalian, via kynurenine)	0	0	57	0	10	13	36	132	0	3	11	36	2	2	24	54	0	25	26	24	30	18	37	0	0	45	4	0	25	114	10	0	22	13	0	15	27	0	48	15	0	4	39	0	0	0	0	0
